Date & Time,Temperature (°F)
"1/8/21, 4:48:40 PM",--
"1/8/21, 4:48:40 PM",--
"1/8/21, 4:48:41 PM",77
"1/8/21, 4:48:41 PM",77
"1/8/21, 4:48:42 PM",76
"1/8/21, 4:48:45 PM",76
"1/8/21, 4:48:47 PM",75
"1/8/21, 4:48:50 PM",75
"1/8/21, 4:48:51 PM",76
"1/8/21, 4:48:52 PM",75
"1/8/21, 4:48:55 PM",75
"1/8/21, 4:48:55 PM",76
"1/8/21, 4:48:59 PM",76
"1/8/21, 4:49:00 PM",75
"1/8/21, 4:49:02 PM",76
"1/8/21, 4:49:05 PM",76
"1/8/21, 4:49:08 PM",76
"1/8/21, 4:49:11 PM",76
"1/8/21, 4:49:16 PM",75
"1/8/21, 4:49:17 PM",76
"1/8/21, 4:49:18 PM",75
"1/8/21, 4:49:20 PM",74
"1/8/21, 4:49:22 PM",75
"1/8/21, 4:49:25 PM",75
"1/8/21, 4:49:28 PM",75
"1/8/21, 4:49:28 PM",76
"1/8/21, 4:49:31 PM",76
"1/8/21, 4:49:32 PM",75
"1/8/21, 4:49:35 PM",76
"1/8/21, 4:49:38 PM",76
"1/8/21, 4:49:39 PM",75
"1/8/21, 4:49:40 PM",76
"1/8/21, 4:49:41 PM",75
"1/8/21, 4:49:44 PM",75
"1/8/21, 4:49:47 PM",75
"1/8/21, 4:49:49 PM",76
"1/8/21, 4:49:50 PM",75
"1/8/21, 4:49:52 PM",76
"1/8/21, 4:49:55 PM",75
"1/8/21, 4:49:57 PM",74
"1/8/21, 4:50:00 PM",74
"1/8/21, 4:50:03 PM",74
"1/8/21, 4:50:04 PM",75
"1/8/21, 4:50:07 PM",75
"1/8/21, 4:50:10 PM",75
"1/8/21, 4:50:13 PM",75
"1/8/21, 4:50:16 PM",75
"1/8/21, 4:50:19 PM",75
"1/8/21, 4:50:22 PM",75
"1/8/21, 4:50:25 PM",75
"1/8/21, 4:50:25 PM",76
"1/8/21, 4:50:28 PM",75
"1/8/21, 4:50:29 PM",76
"1/8/21, 4:50:31 PM",75
"1/8/21, 4:50:34 PM",75
"1/8/21, 4:50:37 PM",75
"1/8/21, 4:50:39 PM",74
"1/8/21, 4:50:42 PM",74
"1/8/21, 4:50:42 PM",75
"1/8/21, 4:50:45 PM",75
"1/8/21, 4:50:48 PM",75
"1/8/21, 4:50:51 PM",74
"1/8/21, 4:50:52 PM",75
"1/8/21, 4:50:53 PM",74
"1/8/21, 4:50:55 PM",75
"1/8/21, 4:50:57 PM",74
"1/8/21, 4:50:58 PM",75
"1/8/21, 4:51:01 PM",75
"1/8/21, 4:51:04 PM",74
"1/8/21, 4:51:06 PM",75
"1/8/21, 4:51:07 PM",74
"1/8/21, 4:51:08 PM",75
"1/8/21, 4:51:11 PM",75
"1/8/21, 4:51:14 PM",75
"1/8/21, 4:51:15 PM",76
"1/8/21, 4:51:18 PM",76
"1/8/21, 4:51:19 PM",75
"1/8/21, 4:51:22 PM",75
"1/8/21, 4:51:25 PM",75
"1/8/21, 4:51:26 PM",74
"1/8/21, 4:51:27 PM",75
"1/8/21, 4:51:30 PM",75
"1/8/21, 4:51:33 PM",75
"1/8/21, 4:51:36 PM",75
"1/8/21, 4:51:39 PM",75
"1/8/21, 4:51:41 PM",74
"1/8/21, 4:51:42 PM",75
"1/8/21, 4:51:45 PM",75
"1/8/21, 4:51:47 PM",74
"1/8/21, 4:51:48 PM",75
"1/8/21, 4:51:50 PM",74
"1/8/21, 4:51:53 PM",74
"1/8/21, 4:51:53 PM",75
"1/8/21, 4:51:56 PM",75
"1/8/21, 4:51:57 PM",74
"1/8/21, 4:51:58 PM",75
"1/8/21, 4:51:59 PM",74
"1/8/21, 4:52:01 PM",75
"1/8/21, 4:52:04 PM",75
"1/8/21, 4:52:04 PM",74
"1/8/21, 4:52:05 PM",75
"1/8/21, 4:52:08 PM",75
"1/8/21, 4:52:08 PM",76
"1/8/21, 4:52:09 PM",75
"1/8/21, 4:52:12 PM",75
"1/8/21, 4:52:15 PM",75
"1/8/21, 4:52:16 PM",74
"1/8/21, 4:52:19 PM",74
"1/8/21, 4:52:22 PM",74
"1/8/21, 4:52:25 PM",74
"1/8/21, 4:52:25 PM",75
"1/8/21, 4:52:28 PM",75
"1/8/21, 4:52:31 PM",75
"1/8/21, 4:52:34 PM",74
"1/8/21, 4:52:36 PM",75
"1/8/21, 4:52:39 PM",75
"1/8/21, 4:52:39 PM",74
"1/8/21, 4:52:42 PM",74
"1/8/21, 4:52:43 PM",75
"1/8/21, 4:52:46 PM",75
"1/8/21, 4:52:49 PM",75
"1/8/21, 4:52:52 PM",75
"1/8/21, 4:52:55 PM",75
"1/8/21, 4:52:56 PM",74
"1/8/21, 4:52:59 PM",74
"1/8/21, 4:52:59 PM",75
"1/8/21, 4:53:00 PM",74
"1/8/21, 4:53:03 PM",74
"1/8/21, 4:53:06 PM",74
"1/8/21, 4:53:07 PM",75
"1/8/21, 4:53:10 PM",75
"1/8/21, 4:53:13 PM",75
"1/8/21, 4:53:15 PM",74
"1/8/21, 4:53:18 PM",74
"1/8/21, 4:53:21 PM",74
"1/8/21, 4:53:22 PM",75
"1/8/21, 4:53:25 PM",75
"1/8/21, 4:53:28 PM",75
"1/8/21, 4:53:29 PM",74
"1/8/21, 4:53:32 PM",74
"1/8/21, 4:53:35 PM",74
"1/8/21, 4:53:35 PM",75
"1/8/21, 4:53:38 PM",75
"1/8/21, 4:53:41 PM",75
"1/8/21, 4:53:43 PM",76
"1/8/21, 4:53:45 PM",75
"1/8/21, 4:53:48 PM",75
"1/8/21, 4:53:51 PM",75
"1/8/21, 4:53:51 PM",74
"1/8/21, 4:53:53 PM",75
"1/8/21, 4:53:56 PM",75
"1/8/21, 4:53:59 PM",75
"1/8/21, 4:54:02 PM",75
"1/8/21, 4:54:05 PM",74
"1/8/21, 4:54:07 PM",73
"1/8/21, 4:54:08 PM",74
"1/8/21, 4:54:11 PM",74
"1/8/21, 4:54:14 PM",74
"1/8/21, 4:54:16 PM",75
"1/8/21, 4:54:19 PM",75
"1/8/21, 4:54:22 PM",75
"1/8/21, 4:54:25 PM",75
"1/8/21, 4:54:27 PM",76
"1/8/21, 4:54:30 PM",76
"1/8/21, 4:54:33 PM",77
"1/8/21, 4:54:36 PM",77
"1/8/21, 4:54:36 PM",76
"1/8/21, 4:54:39 PM",76
"1/8/21, 4:54:41 PM",75
"1/8/21, 4:54:44 PM",75
"1/8/21, 4:54:47 PM",75
"1/8/21, 4:54:50 PM",75
"1/8/21, 4:54:53 PM",75
"1/8/21, 4:54:56 PM",75
"1/8/21, 4:54:58 PM",76
"1/8/21, 4:55:00 PM",75
"1/8/21, 4:55:03 PM",75
"1/8/21, 4:55:06 PM",75
"1/8/21, 4:55:09 PM",75
"1/8/21, 4:55:09 PM",76
"1/8/21, 4:55:12 PM",76
"1/8/21, 4:55:13 PM",77
"1/8/21, 4:55:16 PM",77
"1/8/21, 4:55:16 PM",78
"1/8/21, 4:55:17 PM",79
"1/8/21, 4:55:18 PM",80
"1/8/21, 4:55:20 PM",81
"1/8/21, 4:55:21 PM",82
"1/8/21, 4:55:23 PM",83
"1/8/21, 4:55:25 PM",84
"1/8/21, 4:55:26 PM",85
"1/8/21, 4:55:27 PM",86
"1/8/21, 4:55:28 PM",87
"1/8/21, 4:55:31 PM",88
"1/8/21, 4:55:33 PM",89
"1/8/21, 4:55:36 PM",89
"1/8/21, 4:55:37 PM",90
"1/8/21, 4:55:40 PM",90
"1/8/21, 4:55:41 PM",92
"1/8/21, 4:55:44 PM",92
"1/8/21, 4:55:44 PM",93
"1/8/21, 4:55:45 PM",94
"1/8/21, 4:55:46 PM",95
"1/8/21, 4:55:48 PM",96
"1/8/21, 4:55:49 PM",97
"1/8/21, 4:55:52 PM",98
"1/8/21, 4:55:53 PM",99
"1/8/21, 4:55:55 PM",100
"1/8/21, 4:55:56 PM",101
"1/8/21, 4:55:58 PM",102
"1/8/21, 4:56:00 PM",103
"1/8/21, 4:56:02 PM",104
"1/8/21, 4:56:05 PM",104
"1/8/21, 4:56:06 PM",105
"1/8/21, 4:56:07 PM",106
"1/8/21, 4:56:09 PM",107
"1/8/21, 4:56:11 PM",108
"1/8/21, 4:56:12 PM",109
"1/8/21, 4:56:14 PM",110
"1/8/21, 4:56:16 PM",111
"1/8/21, 4:56:18 PM",112
"1/8/21, 4:56:19 PM",113
"1/8/21, 4:56:22 PM",114
"1/8/21, 4:56:24 PM",115
"1/8/21, 4:56:25 PM",116
"1/8/21, 4:56:27 PM",117
"1/8/21, 4:56:29 PM",118
"1/8/21, 4:56:31 PM",119
"1/8/21, 4:56:32 PM",120
"1/8/21, 4:56:34 PM",121
"1/8/21, 4:56:35 PM",122
"1/8/21, 4:56:37 PM",123
"1/8/21, 4:56:38 PM",124
"1/8/21, 4:56:41 PM",125
"1/8/21, 4:56:43 PM",126
"1/8/21, 4:56:45 PM",127
"1/8/21, 4:56:46 PM",128
"1/8/21, 4:56:48 PM",129
"1/8/21, 4:56:50 PM",130
"1/8/21, 4:56:52 PM",131
"1/8/21, 4:56:54 PM",132
"1/8/21, 4:56:57 PM",133
"1/8/21, 4:56:58 PM",134
"1/8/21, 4:57:00 PM",135
"1/8/21, 4:57:02 PM",136
"1/8/21, 4:57:04 PM",137
"1/8/21, 4:57:05 PM",138
"1/8/21, 4:57:07 PM",139
"1/8/21, 4:57:09 PM",140
"1/8/21, 4:57:11 PM",141
"1/8/21, 4:57:14 PM",142
"1/8/21, 4:57:16 PM",143
"1/8/21, 4:57:18 PM",144
"1/8/21, 4:57:19 PM",145
"1/8/21, 4:57:22 PM",145
"1/8/21, 4:57:22 PM",146
"1/8/21, 4:57:24 PM",147
"1/8/21, 4:57:26 PM",148
"1/8/21, 4:57:29 PM",149
"1/8/21, 4:57:31 PM",150
"1/8/21, 4:57:33 PM",151
"1/8/21, 4:57:35 PM",152
"1/8/21, 4:57:37 PM",153
"1/8/21, 4:57:39 PM",154
"1/8/21, 4:57:41 PM",155
"1/8/21, 4:57:43 PM",156
"1/8/21, 4:57:46 PM",157
"1/8/21, 4:57:49 PM",157
"1/8/21, 4:57:49 PM",158
"1/8/21, 4:57:51 PM",159
"1/8/21, 4:57:53 PM",160
"1/8/21, 4:57:55 PM",161
"1/8/21, 4:57:57 PM",162
"1/8/21, 4:58:00 PM",162
"1/8/21, 4:58:00 PM",163
"1/8/21, 4:58:02 PM",164
"1/8/21, 4:58:05 PM",165
"1/8/21, 4:58:07 PM",166
"1/8/21, 4:58:10 PM",166
"1/8/21, 4:58:10 PM",167
"1/8/21, 4:58:12 PM",168
"1/8/21, 4:58:14 PM",169
"1/8/21, 4:58:17 PM",169
"1/8/21, 4:58:17 PM",170
"1/8/21, 4:58:19 PM",171
"1/8/21, 4:58:22 PM",172
"1/8/21, 4:58:24 PM",173
"1/8/21, 4:58:26 PM",174
"1/8/21, 4:58:28 PM",175
"1/8/21, 4:58:30 PM",176
"1/8/21, 4:58:32 PM",177
"1/8/21, 4:58:35 PM",177
"1/8/21, 4:58:35 PM",178
"1/8/21, 4:58:37 PM",179
"1/8/21, 4:58:40 PM",179
"1/8/21, 4:58:41 PM",180
"1/8/21, 4:58:43 PM",181
"1/8/21, 4:58:46 PM",181
"1/8/21, 4:58:46 PM",182
"1/8/21, 4:58:48 PM",183
"1/8/21, 4:58:50 PM",184
"1/8/21, 4:58:52 PM",185
"1/8/21, 4:58:55 PM",185
"1/8/21, 4:58:55 PM",186
"1/8/21, 4:58:57 PM",187
"1/8/21, 4:59:00 PM",187
"1/8/21, 4:59:01 PM",188
"1/8/21, 4:59:03 PM",189
"1/8/21, 4:59:06 PM",189
"1/8/21, 4:59:06 PM",190
"1/8/21, 4:59:08 PM",191
"1/8/21, 4:59:10 PM",192
"1/8/21, 4:59:12 PM",193
